vinland saga,"['Thorfinn', 'Thorfinn', 'Einar', 'Thorfinn Thordarson', 'Badger', 'Halfdan', 'Estrid', 'Leif', 'Gunnar', 'Canute', 'Sweyn', 'Askeladd', 'Askeladd', 'Atli', 'Floki', 'Willibald', 'Thorkell', 'Bug-Eyes']"
,0
south park,"['Stan Marsh', 'Kyle Broflovski', 'Chef', 'Sheila Broflovski', 'Sharon Marsh', 'Token Black', 'Liane Cartman', 'Bebe Stevens', 'Heidi Turner', 'Liane Cartman', 'Ike Broflovski', 'Sharon Marsh (Spanish Dubbing)', 'Towelie', 'Richard Dawkins', 'Mr. Slave', 'Laura Tucker', 'Linda Black', 'Peter Griffin']"
,0
futurama,"['Dr. Zoidberg', 'Bender', 'Turanga Leela', 'Linda', 'Hermes Conrad', 'Morbo', 'Amy Wong', 'Scruffy', 'Nibbler', 'Cubert Farnsworth', 'LaBarbara Conrad', 'Abner Doubledeal', 'The Robot Devil', ""Al Gore's Head"", ""George Takei's Head"", 'Sally', 'Old Man Waterfall', 'Dixie']"
,0
family guy,"['Peter Griffin', 'Lois Griffin', 'Chris Griffin', 'Meg Griffin', 'Cleveland Brown', 'TV Announcer', 'Joe Swanson', 'TV Announcer', 'Various', 'Jesus Christ', 'Miss Tammy', 'George W. Bush', 'Mayor Adam West', 'Jerome', 'Various', 'Mort Goldman', 'Bonnie Swanson', 'Principal Shepherd']"
,0
puss in boots: the last wish,"['Puss in Boots', 'Kitty Softpaws', 'Perrito', 'Goldilocks', 'Mama Bear', 'Papa Bear', 'Baby Bear', 'Jack Horner', 'Wolf', 'Mama Luna', 'Doctor', 'Ethical Bug', 'Governor', 'Jo Serpent', 'Jan Serpent', 'Gingy', 'Pinocchio', 'Little Goldi']"
,0
"love, death & robots","['Bound God', 'Future Nazi', 'Detective Briggs', 'Beaumont', 'Additional Voices', 'K-VRC', 'Railman', 'XBOT 4000', 'Eve', 'Adult Liang', 'Commander', 'The Cat', 'Dilman', 'Bob', 'Deacon', 'Officer Mantus', 'Alice', 'Five Zero']"
,0
hell's paradise: jigokuraku,"['Gabimaru', 'Yamada Asaemon Sagiri', 'Yamada Asaemon Sagiri', 'Gabimaru', 'Yuzuriha', 'Tamiya Gantetsusai', 'Yamada Asaemon Senta', 'Yuzuriha', 'Aza Chobei', 'Yamada Asaemon Senta', 'Yamada Asaemon Fuchi', 'Mei', 'Mu Dan', 'Tao Fa', 'Aza Chobei', 'Tamiya Gantetsusai', 'Yamada Asaemon Toma', 'Nurugai']"
,0
avatar: the last airbender,"['Appa', 'Aang', 'Katara', 'Sokka', 'Prince Zuko', 'Toph', 'Uncle', 'Azula', 'Hakoda', 'Mai', 'Additional Voices', 'Suki', 'Ty Lee', 'Additional Voices', 'Additional Voices', 'Avatar Roku', 'Commander Zhao', 'Cabbage Merchant']"
,0
bluey,"['Dad', 'Mum', 'Indy (Dutch)', ""Lucky's Dad"", 'Uncle Stripe', 'Aunt Trixie', 'Calypso', 'Nana', 'Rocko', 'Coco', 'Wendy', ""Mackenzie's Dad"", ""Coco's Mum"", 'Mackenzie', 'Snickers', ""Chloe's Dad"", 'Doreen', ""Jack's Dad""]"
,0
arcane,"['Vi', 'Jayce', 'Silco', 'Additional Voices', 'Marcus', 'Viktor', 'Mel Medarda', 'Additional Voices', 'Additional Voices', 'Vander', 'Hoskel', 'Sevika', 'Caitlyn', 'Jinx', 'Caitlyn', 'Powder', 'Salo', 'Heimerdinger']"
,0
invincible,"['Mark Grayson', 'Nolan Grayson', 'Debbie Grayson', 'Amber Bennett', 'Monster Girl', 'Mauler Twins', 'Cecil Stedman', 'Atom Eve', 'Robot', 'William Clockwell', 'Rex Splode', 'Black Samson', 'Dupli-Kate', 'The Immortal', 'Donald Ferguson', 'Kid Omni-Man', 'Art Rosebaum', 'Allen the Alien']"
,0
bojack horseman,"['BoJack Horseman', 'Princess Carolyn', 'Diane Nguyen', 'Todd Chavez', 'Mr. Peanutbutter', 'A Ryan Seacrest Type', 'Tom Jumbo-Grumbo', 'Judah Mannowdog', 'Sarah Lynn', 'Pinky Penguin', 'Charley Witherspoon', 'Hollyhock', 'Lenny Turtletaub', 'Herb Kazzaz', 'Beatrice Horseman', 'Ana Spanikopita', 'Flip McVicker', 'Gina Cazador']"
,0
mulan,"['Mulan', 'Mushu', 'Shang', 'Shan-Yu', 'Yao', 'Fa Li', 'Grandmother Fa', 'Chi Fu', 'The Matchmaker', 'The Emperor', 'Grandmother Fa', 'Fa Zhou', 'Shang', 'Mulan', 'General Li', 'First Ancestor', 'Chien-Po', 'Ling']"
,0
black clover,"['Asta', 'Noelle Silva', 'Narrator', 'Yami Sukehiro', 'Yuno', 'Finral', 'Luck', 'Charmy Papittoson', 'Mimosa', 'Vanessa', 'Gordon', 'Magna', 'Secre', 'Gauche', 'Asta', 'Grey', 'Noelle Silva', 'Julius']"
,0
spider-man: beyond the spider-verse,"['Miles Morales', 'Gwen Stacy', 'Jonathan Ohn', ""Miguel O'Hara"", 'Hobie Brown', 'Spider-Ham', 'Peter B. Parker', 'Rio Morales', 'Jefferson Davis', 'Margo Kess', 'Aaron Davis', 'Miles G. Morales', 'Pavitr Prabhakar', 'Peni Parker', 'Jessica Drew']"
,0
